time,xm,ym
0.0,0.49665005043130034,0.019351757540772688
0.0022522522522522522,0.4966018346764051,0.026898604896050463
0.0045045045045045045,0.49655361892150984,0.03444545225132825
0.006756756756756757,0.49650540316661457,0.04199229960660604
0.009009009009009009,0.4964571874117194,0.04953914696188383
0.01126126126126126,0.4964089716568241,0.057085994317161604
0.013513513513513514,0.49636075590192885,0.06463284167243938
0.015765765765765764,0.4963125401470336,0.07217968902771715
0.018018018018018018,0.49632001672230064,0.08090683611557023
0.02027027027027027,0.49636818751067774,0.09060324112449764
0.02252252252252252,0.4964163582990547,0.10029964613342504
0.024774774774774775,0.49646452908743177,0.10999605114235245
0.02702702702702703,0.49651269987580876,0.11969245615127985
0.02927927927927928,0.4965608706641858,0.12938886116020726
0.03153153153153153,0.4966090414525628,0.13908526616913464
0.033783783783783786,0.49666244375256474,0.14875924467278107
0.036036036036036036,0.4967602039196678,0.15834303886707182
0.038288288288288286,0.4968579640867708,0.16792683306136258
0.04054054054054054,0.4969557242538738,0.17751062725565336
0.04279279279279279,0.49705348442097685,0.18709442144994415
0.04504504504504504,0.4971512445880799,0.19667821564423488
0.0472972972972973,0.4972490047551829,0.20626200983852572
0.04954954954954955,0.4973467649222859,0.2158458040328164
0.0518018018018018,0.49747425978354365,0.22537109576707148
0.05405405405405406,0.49761257059838077,0.23486793232381753
0.05630630630630631,0.4977508814132179,0.24436476888056358
0.05855855855855856,0.49788919222805506,0.2538616054373095
0.06081081081081081,0.4980275030428921,0.2633584419940555
0.06306306306306306,0.49816581385772923,0.27285527855080155
0.06531531531531531,0.4983041246725664,0.2823521151075476
0.06756756756756757,0.4984549777368655,0.291761813058085
0.06981981981981981,0.4986383647210833,0.30085586826071975
0.07207207207207207,0.4988217517053011,0.3099499234633546
0.07432432432432433,0.49900513868951896,0.3190439786659893
0.07657657657657657,0.4991885256737367,0.3281380338686241
0.07882882882882883,0.49937191265795455,0.33723208907125896
0.08108108108108109,0.49955529964217243,0.34632614427389374
0.08333333333333333,0.4997386866263902,0.3554201994765285
0.08558558558558559,0.49995280941065023,0.3642998100367598
0.08783783783783784,0.5001768532576472,0.3731112179262299
0.09009009009009009,0.5004008971046442,0.38192262581569997
0.09234234234234234,0.5006249409516411,0.3907340337051701
0.0945945945945946,0.500848984798638,0.3995454415946402
0.09684684684684684,0.5010730286456351,0.40835684948411033
0.0990990990990991,0.501297072492632,0.41716825737358043
0.10135135135135136,0.5015569392266983,0.4258602601545421
0.1036036036036036,0.5018919596599116,0.4343165110713991
0.10585585585585586,0.5022269800931248,0.4427727619882563
0.10810810810810811,0.502562000526338,0.4512290129051134
0.11036036036036036,0.5028970209595511,0.4596852638219705
0.11261261261261261,0.5032320413927645,0.4681415147388276
0.11486486486486486,0.5035670618259775,0.4765977656556847
0.11711711711711711,0.5039020822591908,0.48505401657254177
0.11936936936936937,0.5042706036715024,0.4931890073976337
0.12162162162162161,0.5046405959743624,0.501289462031324
0.12387387387387387,0.5050105882772223,0.5093899166650142
0.12612612612612611,0.5053805805800823,0.5174903712987045
0.12837837837837837,0.5057505728829423,0.5255908259323947
0.13063063063063063,0.5061205651858023,0.533691280566085
0.13288288288288289,0.5064905574886622,0.5417917351997752
0.13513513513513514,0.5068806494383837,0.549757838922586
0.1373873873873874,0.5072847258457734,0.5575561061922734
0.13963963963963963,0.5076888022531632,0.5653543734619605
0.14189189189189189,0.5080928786605529,0.5731526407316478
0.14414414414414414,0.5084969550679427,0.5809509080013351
0.1463963963963964,0.5089010314753325,0.5887491752710223
0.14864864864864866,0.5093051078827222,0.5965474425407097
0.1509009009009009,0.5097150995126968,0.6043179039169714
0.15315315315315314,0.5101939733591978,0.611738405728421
0.1554054054054054,0.510676263832386,0.6191441239226518
0.15765765765765766,0.5111585543055741,0.6265498421168827
0.15990990990990991,0.5116408447787621,0.6339555603111136
0.16216216216216217,0.5121231352519503,0.6413612785053445
0.1644144144144144,0.5126054257251383,0.6487669966995753
0.16666666666666666,0.5130877161983265,0.6561727148938062
0.16891891891891891,0.5135993819910644,0.6633345404697097
0.17117117117117117,0.5141122675722682,0.6703141183120649
0.17342342342342343,0.5146251531534722,0.6772936961544201
0.17567567567567569,0.5151380387346761,0.6842732739967754
0.17792792792792791,0.51565092431588,0.6912528518391303
0.18018018018018017,0.516163809897084,0.6982324296814856
0.18243243243243243,0.5166766954782879,0.7052120075238408
0.18468468468468469,0.5172047363639724,0.7121142989515505
0.18693693693693694,0.5178511723664969,0.7186121345978864
0.1891891891891892,0.5185102590430107,0.7250855549845101
0.19144144144144143,0.5191693457195247,0.7315589753711337
0.19369369369369369,0.5198284323960385,0.7380323957577575
0.19594594594594594,0.5204875190725524,0.7445058161443812
0.1981981981981982,0.5211466057490663,0.7509792365310048
0.20045045045045046,0.5218056924255803,0.7574526569176285
0.20270270270270271,0.5224897663734536,0.7635862534829645
0.20495495495495494,0.5231398480004211,0.7696071284530266
0.2072072072072072,0.5237899296273886,0.7756280034230887
0.20945945945945946,0.5244400112543561,0.7816488783931509
0.21171171171171171,0.5250900928813237,0.7876697533632131
0.21396396396396397,0.5257401745082912,0.7936906283332752
0.21621621621621623,0.5263902561352588,0.7997115033033374
0.21846846846846846,0.5270655091222465,0.8055814218961799
0.22072072072072071,0.5278238830995001,0.8110171776639041
0.22297297297297297,0.5285869045254679,0.8164349454624169
0.22522522522522523,0.5293499259514355,0.8218527132609299
0.22747747747747749,0.5301129473774031,0.8272704810594428
0.22972972972972971,0.530875968803371,0.8326882488579557
0.23198198198198197,0.5316389902293386,0.8381060166564684
0.23423423423423423,0.5324020116553063,0.8435237844549813
0.23648648648648649,0.5332452710653262,0.8484277111631497
0.23873873873873874,0.5340941106771433,0.85322054482205
0.240990990990991,0.5349429502889604,0.8580133784809503
0.24324324324324323,0.5357917899007775,0.8628062121398505
0.24549549549549549,0.5366406295125946,0.8675990457987508
0.24774774774774774,0.5374894691244118,0.8723918794576511
0.25,0.5383383087362289,0.8771847131165514
0.25225225225225223,0.5392067845451809,0.8817571675313987
0.2545045045045045,0.5400833327070286,0.8859905090451914
0.25675675675675674,0.5409590493194535,0.8902185344254658
0.25900900900900903,0.5418347659318784,0.8944465598057405
0.26126126126126126,0.5427104825443034,0.898674585186015
0.2635135135135135,0.5435861991567283,0.9029026105662894
0.26576576576576577,0.5444619157691533,0.9071306359465642
0.268018018018018,0.5453425272978638,0.9113391625195965
0.2702702702702703,0.5463499335806916,0.9150128472379635
0.2725225225225225,0.5473747240789566,0.9186270225613808
0.2747747747747748,0.5483995145772216,0.9222411978847984
0.27702702702702703,0.5494243050754865,0.9258553732082155
0.27927927927927926,0.5504490955737513,0.9294695485316329
0.28153153153153154,0.5514738860720163,0.9330837238550502
0.28378378378378377,0.5524986765702812,0.9366978991784676
0.28603603603603606,0.5535669627759205,0.939940224102177
0.2882882882882883,0.5546449965099817,0.9428384779178973
0.2905405405405405,0.5557230302440428,0.945736731733618
0.2927927927927928,0.5568010639781038,0.9486349855493386
0.29504504504504503,0.557879097712165,0.9515332393650591
0.2972972972972973,0.5589571314462262,0.9544314931807796
0.29954954954954954,0.5600351651802873,0.9573297469965001
