time,cx,cy
0.5163499361430396,226.34571428571428,789.2685714285715
0.5330063856960409,223.31836734693877,724.9775510204082
0.5496628352490421,221.48747591522158,661.7745664739884
0.5663192848020434,219.8945518453427,602.7328646748682
0.5829757343550447,219.80693815987934,541.8582202111614
0.599632183908046,218.72712680577848,485.36757624398075
0.6162886334610472,218.81041388518025,428.60747663551405
0.6329450830140485,218.7422680412371,373.8208762886598
0.6496015325670498,219.4701086956522,322.6915760869565
0.666257982120051,220.60714285714286,271.6231527093596
0.6829144316730524,221.5742444152431,225.24704336399475
0.6995708812260537,223.45388349514562,180.93446601941747
0.716227330779055,226.86967113276492,138.71254567600488
0.7328837803320563,230.15764705882353,102.89882352941177
0.7495402298850575,234.56701030927834,68.13287514318442
0.7661966794380588,239.4571746384872,38.92769744160178
0.7828531289910601,245.03703703703704,14.897354497354497
0.7995095785440614,257.32751091703057,3.2445414847161573
0.9161047254150703,316.328,2.384
0.9327611749680715,321.4244762954796,11.729878721058434
0.9494176245210728,330.0905631659056,31.590563165905632
0.9660740740740741,340.50375375375376,60.674174174174176
0.9827305236270754,351.2294964028777,93.74892086330935
0.9993869731800766,362.05185704274703,132.35739313244568
1.016043422733078,373.25254582484723,175.62797012898847
1.0326998722860792,383.8237597911227,221.02023498694518
1.0493563218390805,394.3347962382445,269.8269592476489
1.0660127713920817,405.50061425061426,322.70331695331697
1.082669220945083,416.2880733944954,378.4544342507645
1.0993256704980843,427.0175332527207,435.1160822249093
1.1159821200510855,437.23847572218807,494.6662569145667
1.1326385696040868,447.15037128712873,557.9789603960396
1.149295019157088,457.3154034229829,622.3533007334963
1.1659514687100894,466.3583081570997,687.1728096676737
1.1826079182630906,475.35077881619935,753.9327102803738
1.199264367816092,484.63380281690144,796.6901408450705
1.332515964240102,528.9227722772278,791.2752475247524
1.3491724137931034,532.9188191881918,753.0264452644526
1.3658288633461049,537.9665246500305,703.0444309190506
1.3824853128991061,543.0696576151122,654.7255017709563
1.3991417624521074,548.4864099660249,607.9813137032843
1.4157982120051087,553.9625279642058,565.1733780760626
1.43245466155811,559.6207084468665,523.6534059945504
1.4491111111111112,565.552,486.1114666666667
1.4657675606641125,571.484783769354,452.1703150026695
1.4824240102171138,577.6908904810645,420.64636642784035
1.499080459770115,584.0309226932668,393.5002493765586
1.5157369093231163,590.7177974434611,369.67748279252703
1.5323933588761176,597.8373320537428,349.021113243762
1.5490498084291189,604.9595765158806,332.8594802694899
1.5657062579821202,612.4518768046198,320.51251203079886
1.5823627075351214,619.8315889628925,312.5361560418649
1.5990191570881227,627.171158392435,308.8869976359338
1.615675606641124,634.557345971564,309.0009478672986
1.6323320561941252,642.0367577756833,313.5348727615457
1.6489885057471265,649.428841607565,321.72482269503547
1.6656449553001278,656.8886783514922,334.7541449549976
1.682301404853129,664.5197524988101,351.92099000475963
1.6989578544061303,671.6228733459358,373.187145557656
1.7156143039591316,678.823080591321,398.2627563185503
1.7322707535121329,686.227490421456,428.10919540229884
1.7489272030651342,693.2095327984898,461.0806984426616
1.7655836526181354,700.1412429378531,497.88653483992465
1.7822401021711367,706.8446139180171,539.2078169685415
1.798896551724138,713.5045173561579,583.282929148835
1.8155530012771393,719.7222222222222,629.6613526570048
1.8322094508301405,725.6704377766847,679.5956714215445
1.8488659003831418,731.2940886699507,732.7911330049261
1.865522349936143,736.3772696704775,779.4949562878278
2.048743295019157,789.3154362416108,787.5145413870246
2.0653997445721584,795.7383603238867,759.169028340081
2.0820561941251596,801.0328205128205,720.454358974359
2.098712643678161,806.4800598205384,683.3389830508474
2.115369093231162,811.8907103825137,650.1063089915549
2.1320255427841635,817.3155798904928,620.0542558486809
2.1486819923371647,822.7471098265896,592.4263005780347
2.165338441890166,827.9700916546069,569.2161119150988
2.1819948914431673,833.3686940122584,549.3267326732673
2.1986513409961685,838.6407721280602,532.9048964218456
2.21530779054917,843.6663573085847,520.3670533642692
2.231964240102171,848.6773892773892,511.44428904428906
2.2486206896551724,853.6310135450724,506.26296123306867
2.2652771392081736,857.9149722735675,505.0878003696858
2.281933588761175,862.2276908923643,507.7304507819687
2.298590038314176,866.6324074074074,513.5699074074074
2.3152464878671775,870.2675070028012,523.4173669467787
2.3319029374201787,874.0474178403756,537.1070422535212
2.34855938697318,877.1384115188109,555.1281932187645
2.3652158365261813,880.1319509896324,576.0042412818096
2.3818722860791826,882.9213161659513,601.1111111111111
2.398528735632184,885.4057692307692,629.8475961538461
2.415185185185185,887.6300437530384,661.1127856101118
2.4318416347381864,889.5177339901478,696.1783251231527
2.4484980842911876,891.0384995064165,734.317374136229
2.465154533844189,892.3258785942492,773.6368477103301
2.48181098339719,890.474025974026,794.0616883116883
2.665031928480204,933.8663967611336,795.1619433198381
2.6816883780332055,942.3331210191083,779.6649681528662
2.6983448275862068,950.2080604534005,753.6629722921914
2.715001277139208,957.3022332506204,726.0456575682382
2.7316577266922097,964.127047146402,701.7369727047146
2.748314176245211,970.9129377431907,680.2188715953307
2.7649706257982123,977.6260954235638,662.1290165530672
2.7816270753512136,983.8579682233991,647.7154549831488
2.798283524904215,990.036754176611,636.7002386634845
2.814939974457216,995.871449205585,628.9778526721233
2.8315964240102174,1001.218103033221,624.6620125180549
2.8482528735632187,1006.2831267874166,624.1062917063871
2.86490932311622,1011.0597439544808,626.9009009009009
2.881565772669221,1015.3612040133779,633.1490683229814
2.8982222222222225,1019.2591189009947,643.3197536712458
2.9148786717752238,1022.6170513424399,656.7998115873763
2.931535121328225,1025.7421176470589,674.0527058823529
2.9481915708812263,1028.4891406987724,695.4055712936732
2.9648480204342276,1030.9241639189825,719.5553462081959
2.981504469987229,1032.5945437441203,747.0724365004704
